Temp,d,v,k
10.0,1.3174,14.85,4.77
20.0,1.3062,10.4,6.51
25.0,1.3006,8.75,7.45
30.0,1.2949,7.66,8.46
40.0,1.2838,5.98,10.56
10.0,1.3134,12.54,5.4
20.0,1.3022,9.01,7.2
25.0,1.2966,7.67,8.17
30.0,1.2909,6.76,9.22
40.0,1.2797,5.32,11.36
