Temp,d,v,k
10.0,1.3166,14.71,4.82
20.0,1.3055,10.31,6.56
25.0,1.2998,8.68,7.5
30.0,1.2941,7.6,8.51
40.0,1.283,5.93,10.61
10.0,1.3143,12.71,5.35
20.0,1.3031,9.1,7.14
25.0,1.2974,7.74,8.11
30.0,1.2917,6.82,9.16
40.0,1.2805,5.36,11.29
