Temp,d,v,k
10.0,1.2706,6.0,7.11
20.0,1.2595,4.82,8.99
25.0,1.2538,4.23,9.99
30.0,1.248,3.83,11.04
40.0,1.2367,3.12,13.29
10.0,1.2674,5.1,7.34
20.0,1.2563,4.15,9.21
25.0,1.2505,3.7,10.21
30.0,1.2447,3.38,11.25
40.0,1.2333,2.79,13.6
