Temp,d,v,k
10.0,1.2718,6.04,7.1
20.0,1.2607,4.85,8.98
25.0,1.255,4.24,9.98
30.0,1.2492,3.85,11.03
40.0,1.2379,3.13,13.27
10.0,1.2668,5.09,7.35
20.0,1.2557,4.14,9.22
25.0,1.2499,3.68,10.21
30.0,1.2441,3.37,11.25
40.0,1.2327,2.78,13.61
