Temp,d,v,k
10.0,1.2275,3.04,6.29
20.0,1.2165,2.55,7.76
25.0,1.2107,2.31,8.54
30.0,1.2047,2.13,9.34
40.0,1.1933,1.8,11.55
10.0,1.2198,2.75,5.54
20.0,1.2087,2.3,6.83
25.0,1.2029,2.1,7.5
30.0,1.197,1.94,8.21
40.0,1.1855,1.65,10.26
