Temp,d,v,k
10.0,1.2715,6.03,7.1
20.0,1.2604,4.84,8.99
25.0,1.2547,4.24,9.99
30.0,1.2489,3.84,11.04
40.0,1.2376,3.12,13.27
10.0,1.2669,5.09,7.35
20.0,1.2558,4.15,9.22
25.0,1.25,3.69,10.21
30.0,1.2442,3.37,11.25
40.0,1.2328,2.78,13.61
