Temp,d,v,k
10.0,1.2281,3.08,6.35
20.0,1.2171,2.57,7.83
25.0,1.2113,2.33,8.62
30.0,1.2054,2.15,9.43
40.0,1.1939,1.81,11.66
10.0,1.219,2.73,5.47
20.0,1.2079,2.29,6.74
25.0,1.2021,2.09,7.42
30.0,1.1961,1.93,8.11
40.0,1.1847,1.64,10.14
