Temp,d,v,k
10.0,1.3169,14.77,4.8
20.0,1.3058,10.35,6.54
25.0,1.3003,8.71,7.47
30.0,1.2945,7.62,8.48
40.0,1.2834,5.95,10.58
10.0,1.3138,12.64,5.37
20.0,1.3026,9.06,7.18
25.0,1.297,7.71,8.14
30.0,1.2913,6.79,9.18
40.0,1.2801,5.34,11.32
