Temp,d,v,k
10.0,1.2712,6.02,7.11
20.0,1.2601,4.83,8.99
25.0,1.2544,4.24,9.99
30.0,1.2486,3.84,11.04
40.0,1.2373,3.12,13.28
10.0,1.2671,5.1,7.35
20.0,1.256,4.15,9.22
25.0,1.2502,3.69,10.21
30.0,1.2444,3.38,11.25
40.0,1.233,2.78,13.61
