side,filename,xLi,xEMC,xEC,stdev,tp_dens,tp_frac
anodic,data/55050_1.csv,0.07217979082622605,0.46706580942895926,0.4607543997448147,0.0026956393874386295,0.4084506611923071,0.4168992283090309
neutral,data/55050_1.csv,0.065,0.4675,0.4675,0,0.4084506611923071,0.4168992283090309
cathodic,data/55050_1.csv,0.05908698481744068,0.47157973040293655,0.4693332847796228,0.0026668363407162912,0.4084506611923071,0.4168992283090309
anodic,data/55050_2.csv,0.07146285259909746,0.4675809441623642,0.46095620323853836,0.0026881226347762826,0.5038094127927045,0.4875979523427237
neutral,data/55050_2.csv,0.065,0.4675,0.4675,0,0.5038094127927045,0.4875979523427237
cathodic,data/55050_2.csv,0.059940378499049984,0.4704458696282927,0.4696137518726573,0.0026568570434562493,0.5038094127927045,0.4875979523427237
anodic,data/55050_3.csv,0.0721429690503328,0.4670245929896737,0.4608324379599935,0.0027009463039395967,0.414790793901765,0.4209430199656986
neutral,data/55050_3.csv,0.065,0.4675,0.4675,0,0.414790793901765,0.4209430199656986
cathodic,data/55050_3.csv,0.059140106773043044,0.47135806898904775,0.4695018242379092,0.0026570070156924632,0.414790793901765,0.4209430199656986
